Date,Open,High,Low,Close,Adj Close,Volume
2019-08-09,1.641900,1.651100,1.640770,1.642290,1.642290,0
2019-08-12,1.653170,1.662190,1.647960,1.653800,1.653800,0
2019-08-13,1.659850,1.661370,1.639530,1.660310,1.660310,0
2019-08-14,1.644210,1.658870,1.642250,1.644000,1.644000,0
2019-08-15,1.649720,1.649750,1.635500,1.649400,1.649400,0
2019-08-16,1.640490,1.640870,1.630300,1.639900,1.639900,0
2019-08-19,1.634480,1.640670,1.633400,1.634000,1.634000,0
2019-08-20,1.640160,1.640360,1.631060,1.640100,1.640100,0
2019-08-21,1.638170,1.638330,1.632000,1.637890,1.637890,0
2019-08-22,1.634600,1.641740,1.634200,1.634270,1.634270,0
2019-08-23,1.640180,1.652110,1.635600,1.640700,1.640700,0
2019-08-26,1.660730,1.660730,1.637190,1.661020,1.661020,0
2019-08-27,1.639660,1.646960,1.638490,1.639840,1.639840,0
2019-08-28,1.641710,1.646280,1.640000,1.641880,1.641880,0
2019-08-29,1.644670,1.649970,1.639300,1.644200,1.644200,0
2019-08-30,1.641400,1.647060,1.631100,1.641970,1.641970,0
2019-09-02,1.633770,1.635180,1.629300,1.633500,1.633500,0
2019-09-03,1.633270,1.635060,1.621900,1.633200,1.633200,0
2019-09-04,1.622040,1.624250,1.617600,1.622180,1.622180,0
2019-09-05,1.623210,1.623760,1.615600,1.623080,1.623080,0
2019-09-06,1.619600,1.620310,1.609300,1.619720,1.619720,0
2019-09-09,1.609650,1.611880,1.604500,1.609450,1.609450,0
2019-09-10,1.609340,1.611790,1.607620,1.609320,1.609320,0
2019-09-11,1.610950,1.612650,1.600800,1.611080,1.611080,0
2019-09-12,1.602170,1.611800,1.590830,1.602220,1.602220,0
2019-09-13,1.610960,1.616390,1.606700,1.610810,1.610810,0
2019-09-16,1.611090,1.613040,1.601800,1.611130,1.611130,0
2019-09-17,1.603280,1.613640,1.602800,1.603230,1.603230,0
2019-09-18,1.612790,1.618100,1.612790,1.612870,1.612870,0
2019-09-19,1.616360,1.629870,1.616200,1.615780,1.615780,0
2019-09-20,1.626360,1.629660,1.623600,1.626060,1.626060,0
2019-09-23,1.627900,1.628250,1.619700,1.627770,1.627770,0
2019-09-24,1.622500,1.623890,1.615560,1.622330,1.622330,0
2019-09-25,1.620200,1.628030,1.617000,1.620000,1.620000,0
2019-09-26,1.621390,1.623490,1.614490,1.621250,1.621250,0
2019-09-27,1.617560,1.621410,1.613190,1.616800,1.616800,0
2019-09-30,1.618260,1.621240,1.612000,1.618200,1.618200,0
2019-10-01,1.614330,1.633590,1.612180,1.614200,1.614200,0
2019-10-02,1.630030,1.636420,1.627300,1.629910,1.629910,0
2019-10-03,1.633690,1.634220,1.627300,1.633580,1.633580,0
2019-10-04,1.626920,1.627510,1.620900,1.627140,1.627140,0
2019-10-07,1.623630,1.631460,1.623630,1.623820,1.623820,0
2019-10-08,1.629550,1.631070,1.625100,1.629590,1.629590,0
2019-10-09,1.628420,1.632140,1.625600,1.628910,1.628910,0
2019-10-10,1.634600,1.635790,1.626600,1.635180,1.635180,0
2019-10-11,1.627800,1.628640,1.620200,1.627600,1.627600,0
2019-10-14,1.622300,1.634870,1.622010,1.622610,1.622610,0
2019-10-15,1.627820,1.633460,1.624280,1.627320,1.627320,0
2019-10-16,1.633740,1.643010,1.633200,1.633890,1.633890,0
2019-10-17,1.639380,1.639490,1.625990,1.638600,1.638600,0
2019-10-18,1.630060,1.630080,1.625600,1.629970,1.629970,0
2019-10-21,1.628820,1.628820,1.622080,1.629000,1.629000,0
2019-10-22,1.622980,1.624820,1.620500,1.622900,1.622900,0
2019-10-23,1.622110,1.626740,1.621400,1.621940,1.621940,0
2019-10-24,1.625020,1.630350,1.624000,1.625040,1.625040,0
2019-10-25,1.628700,1.630050,1.621130,1.628700,1.628700,0
2019-10-28,1.624600,1.627070,1.621930,1.624100,1.624100,0
2019-10-29,1.622610,1.622620,1.616600,1.622700,1.622700,0
2019-10-30,1.620310,1.621530,1.616100,1.620780,1.620780,0
2019-10-31,1.616200,1.620410,1.611300,1.616500,1.616500,0
2019-11-01,1.618260,1.619440,1.613200,1.618540,1.618540,0
2019-11-04,1.613900,1.616440,1.612270,1.614670,1.614670,0
2019-11-05,1.615650,1.617800,1.604370,1.614900,1.614900,0
2019-11-06,1.607310,1.610510,1.604500,1.607100,1.607100,0
2019-11-07,1.609520,1.611600,1.600800,1.609640,1.609640,0
2019-11-08,1.601990,1.609310,1.599600,1.601920,1.601920,0
2019-11-11,1.606930,1.611620,1.606400,1.607140,1.607140,0
2019-11-12,1.611160,1.613310,1.607700,1.611090,1.611090,0
2019-11-13,1.609460,1.614230,1.606200,1.609450,1.609450,0
2019-11-14,1.609510,1.625630,1.609200,1.609690,1.609690,0
2019-11-15,1.623520,1.626180,1.621000,1.623380,1.623380,0
2019-11-18,1.621810,1.626930,1.621000,1.621740,1.621740,0
2019-11-19,1.626920,1.630560,1.621300,1.626890,1.626890,0
2019-11-20,1.622850,1.627710,1.621570,1.623180,1.623180,0
2019-11-21,1.629200,1.632050,1.626600,1.629300,1.629300,0
2019-11-22,1.630040,1.631350,1.625000,1.629400,1.629400,0
2019-11-25,1.622400,1.626310,1.621000,1.622750,1.622750,0
2019-11-26,1.624597,1.626050,1.621960,1.624830,1.624830,0
2019-11-27,1.623790,1.625830,1.621100,1.624060,1.624060,0
2019-11-28,1.625800,1.628590,1.624100,1.626120,1.626120,0
2019-11-29,1.626770,1.631310,1.622400,1.626840,1.626840,0
2019-12-02,1.628540,1.628630,1.621400,1.628770,1.628770,0
2019-12-03,1.624580,1.624580,1.614600,1.624100,1.624100,0
2019-12-04,1.617560,1.625910,1.615800,1.618060,1.618060,0
2019-12-05,1.618070,1.626580,1.616800,1.617400,1.617400,0
2019-12-06,1.624760,1.625293,1.616400,1.624700,1.624700,0
2019-12-09,1.617600,1.623610,1.617200,1.617790,1.617790,0
2019-12-10,1.620580,1.628830,1.619150,1.620930,1.620930,0
2019-12-11,1.628170,1.629720,1.615400,1.628430,1.628430,0
2019-12-12,1.620230,1.620230,1.610200,1.620400,1.620400,0
2019-12-13,1.614770,1.623250,1.611610,1.614940,1.614940,0
